CustomerID,year_month,total_amount,total_orders,InvoiceDate,cohort_month,year_month_period,cohort_month_period,month_period
12347.0,2010-12,711.79,1,2010-12-01,2010-12,2010-12,2010-12,1
12347.0,2011-01,475.39,1,2011-01-01,2010-12,2011-01,2010-12,2
12347.0,2011-04,386.65,1,2011-04-01,2010-12,2011-04,2010-12,5
12347.0,2011-06,382.52,1,2011-06-01,2010-12,2011-06,2010-12,7
12347.0,2011-08,584.9100000000001,1,2011-08-01,2010-12,2011-08,2010-12,9
12347.0,2011-10,1294.32,1,2011-10-01,2010-12,2011-10,2010-12,11
12347.0,2011-12,224.82,1,2011-12-01,2010-12,2011-12,2010-12,13
12348.0,2010-12,367.68,1,2010-12-01,2010-12,2010-12,2010-12,1
12348.0,2011-01,60.4,1,2011-01-01,2010-12,2011-01,2010-12,2
12348.0,2011-04,367.0,1,2011-04-01,2010-12,2011-04,2010-12,5
12348.0,2011-09,160.0,1,2011-09-01,2010-12,2011-09,2010-12,10
12349.0,2011-11,1457.55,1,2011-11-01,2011-11,2011-11,2011-11,1
12350.0,2011-02,334.4,1,2011-02-01,2011-02,2011-02,2011-02,1
12352.0,2011-02,296.5,1,2011-02-01,2011-02,2011-02,2011-02,1
12352.0,2011-03,545.34,4,2011-03-01,2011-02,2011-03,2011-02,2
12352.0,2011-09,632.5,2,2011-09-01,2011-02,2011-09,2011-02,8
12352.0,2011-11,311.73,1,2011-11-01,2011-02,2011-11,2011-02,10
12353.0,2011-05,89.0,1,2011-05-01,2011-05,2011-05,2011-05,1
12354.0,2011-04,1079.4,1,2011-04-01,2011-04,2011-04,2011-04,1
12355.0,2011-05,459.4,1,2011-05-01,2011-05,2011-05,2011-05,1
12356.0,2011-01,1671.62,1,2011-01-01,2011-01,2011-01,2011-01,1
12356.0,2011-04,481.46000000000004,1,2011-04-01,2011-01,2011-04,2011-01,4
12356.0,2011-11,58.349999999999994,1,2011-11-01,2011-01,2011-11,2011-01,11
12357.0,2011-11,5792.47,1,2011-11-01,2011-11,2011-11,2011-11,1
12358.0,2011-07,484.86,1,2011-07-01,2011-07,2011-07,2011-07,1
12358.0,2011-12,523.2,1,2011-12-01,2011-07,2011-12,2011-07,6
12359.0,2011-01,547.5,1,2011-01-01,2011-01,2011-01,2011-01,1
12359.0,2011-02,1548.91,1,2011-02-01,2011-01,2011-02,2011-01,2
12359.0,2011-04,35.8,1,2011-04-01,2011-01,2011-04,2011-01,4
12359.0,2011-06,1109.32,1,2011-06-01,2011-01,2011-06,2011-01,6
12359.0,2011-10,2416.85,1,2011-10-01,2011-01,2011-10,2011-01,10
12359.0,2011-12,91.25,1,2011-12-01,2011-01,2011-12,2011-01,12
12360.0,2011-05,923.5799999999999,1,2011-05-01,2011-05,2011-05,2011-05,1
12360.0,2011-08,534.7,1,2011-08-01,2011-05,2011-08,2011-05,4
12360.0,2011-10,1043.78,1,2011-10-01,2011-05,2011-10,2011-05,6
12361.0,2011-02,189.9,1,2011-02-01,2011-02,2011-02,2011-02,1
12362.0,2011-02,484.0,2,2011-02-01,2011-02,2011-02,2011-02,1
12362.0,2011-04,495.24,1,2011-04-01,2011-02,2011-04,2011-02,3
12362.0,2011-07,303.76,1,2011-07-01,2011-02,2011-07,2011-02,6
12362.0,2011-08,487.15,2,2011-08-01,2011-02,2011-08,2011-02,7
12362.0,2011-09,829.99,1,2011-09-01,2011-02,2011-09,2011-02,8
12362.0,2011-10,1641.91,3,2011-10-01,2011-02,2011-10,2011-02,9
12362.0,2011-11,526.79,2,2011-11-01,2011-02,2011-11,2011-02,10
12362.0,2011-12,529.04,1,2011-12-01,2011-02,2011-12,2011-02,11
12363.0,2011-04,299.1,1,2011-04-01,2011-04,2011-04,2011-04,1
12363.0,2011-08,252.9,1,2011-08-01,2011-04,2011-08,2011-04,5
12364.0,2011-08,623.92,1,2011-08-01,2011-08,2011-08,2011-08,1
12364.0,2011-09,15.0,1,2011-09-01,2011-08,2011-09,2011-08,2
12364.0,2011-10,299.06,1,2011-10-01,2011-08,2011-10,2011-08,3
12364.0,2011-12,310.32,1,2011-12-01,2011-08,2011-12,2011-08,5
12365.0,2011-02,320.69,1,2011-02-01,2011-02,2011-02,2011-02,1
12367.0,2011-12,168.9,1,2011-12-01,2011-12,2011-12,2011-12,1
12370.0,2010-12,1704.82,2,2010-12-01,2010-12,2010-12,2010-12,1
12370.0,2011-03,817.43,1,2011-03-01,2010-12,2011-03,2010-12,4
12370.0,2011-10,739.28,1,2011-10-01,2010-12,2011-10,2010-12,11
12371.0,2011-10,1527.96,1,2011-10-01,2011-10,2011-10,2011-10,1
12372.0,2011-02,399.22,1,2011-02-01,2011-02,2011-02,2011-02,1
12372.0,2011-05,515.7,1,2011-05-01,2011-02,2011-05,2011-02,4
12372.0,2011-09,383.12,1,2011-09-01,2011-02,2011-09,2011-02,8
12373.0,2011-02,364.6,1,2011-02-01,2011-02,2011-02,2011-02,1
12374.0,2011-11,742.9300000000001,1,2011-11-01,2011-11,2011-11,2011-11,1
12375.0,2011-09,230.3,1,2011-09-01,2011-09,2011-09,2011-09,1
12375.0,2011-11,227.20000000000002,1,2011-11-01,2011-09,2011-11,2011-09,3
12375.0,2011-12,2.08,1,2011-12-01,2011-09,2011-12,2011-09,4
12377.0,2010-12,1001.52,1,2010-12-01,2010-12,2010-12,2010-12,1
12377.0,2011-01,626.6,1,2011-01-01,2010-12,2011-01,2010-12,2
12378.0,2011-08,3948.14,1,2011-08-01,2011-08,2011-08,2011-08,1
12379.0,2011-06,459.84,1,2011-06-01,2011-06,2011-06,2011-06,1
12379.0,2011-07,1.95,1,2011-07-01,2011-06,2011-07,2011-06,2
